Sector,Sector_name,Institution,State,Tuition
1,"4-year, public",Worcester State University,MA,8557
1,"4-year, public",Arizona State University-Skysong,AZ,8503
1,"4-year, public",University of Colorado Denver,CO,8500
1,"4-year, public",Oregon Institute of Technology,OR,8445
1,"4-year, public",Stony Brook University,NY,8430
1,"4-year, public",Indiana State University,IN,8416
1,"4-year, public",University of North Carolina School of the Arts,NC,8363
1,"4-year, public",Bridgewater State University,MA,8353
1,"4-year, public",University of North Carolina at Chapel Hill,NC,8336
1,"4-year, public",Framingham State University,MA,8320
1,"4-year, public",Youngstown State University,OH,8317
1,"4-year, public",SUNY at Albany,NY,8302
1,"4-year, public",North Carolina State University at Raleigh,NC,8296
1,"4-year, public",University of Arkansas,AR,8210
1,"4-year, public",University of Nebraska-Lincoln,NE,8170
1,"4-year, public",The University of Tennessee-Chattanooga,TN,8138
1,"4-year, public",Bemidji State University,MN,8134
1,"4-year, public",Texas Southern University,TX,8126
1,"4-year, public",University of Iowa,IA,8079
1,"4-year, public",Southwest Minnesota State University,MN,8074
1,"4-year, public",Louisiana Tech University,LA,8052
1,"4-year, public",The University of Tennessee-Martin,TN,8024
1,"4-year, public",University of South Dakota,SD,8022
1,"4-year, public",University of Baltimore,MD,8018
1,"4-year, public",University of West Alabama,AL,8018
1,"4-year, public",Adams State University,CO,8014
1,"4-year, public",Virginia State University,VA,8002
1,"4-year, public",University of Wisconsin-Superior,WI,7994
1,"4-year, public",Frostburg State University,MD,7982
1,"4-year, public",Eastern Washington University,WA,7972
1,"4-year, public",Indiana University-Purdue University-Fort Wayne,IN,7949
1,"4-year, public",North Dakota State University-Main Campus,ND,7940
1,"4-year, public",SUNY at Purchase College,NY,7933
1,"4-year, public",Eastern Kentucky University,KY,7920
1,"4-year, public",University of Central Arkansas,AR,7889
1,"4-year, public",Middle Tennessee State University,TN,7876
1,"4-year, public",Western State Colorado University,CO,7874
1,"4-year, public",Morehead State University,KY,7866
1,"4-year, public",Henderson State University,AR,7860
1,"4-year, public",Texas Woman's University,TX,7836
1,"4-year, public",University of Utah,UT,7835
1,"4-year, public",Colorado State University-Pueblo,CO,7834
1,"4-year, public",Minnesota State University Moorhead,MN,7816
1,"4-year, public",Texas Tech University,TX,7811
1,"4-year, public",University of Southern Maine,ME,7796
1,"4-year, public",Portland State University,OR,7794
1,"4-year, public",SUNY College at Geneseo,NY,7774
1,"4-year, public",University of Missouri-Kansas City,MO,7774
1,"4-year, public",University of Wisconsin-Green Bay,WI,7758
1,"4-year, public",Midwestern State University,TX,7753
1,"4-year, public",University of Wisconsin-River Falls,WI,7751
1,"4-year, public",University of Northern Iowa,IA,7749
1,"4-year, public",SUNY at Fredonia,NY,7741
1,"4-year, public",University of North Dakota,ND,7741
1,"4-year, public",Southern Arkansas University Main Campus,AR,7736
1,"4-year, public",University of Northern Colorado,CO,7733
1,"4-year, public",Iowa State University,IA,7731
1,"4-year, public",Arkansas State University-Main Campus,AR,7720
1,"4-year, public",SUNY College at Cortland,NY,7719
1,"4-year, public",South Dakota State University,SD,7713
1,"4-year, public",Southern Oregon University,OR,7701
1,"4-year, public",Morrisville State College,NY,7689
1,"4-year, public",Tennessee Technological University,TN,7679
1,"4-year, public",University of Wisconsin-Stevens Point,WI,7668
1,"4-year, public",East Tennessee State University,TN,7667
1,"4-year, public",Lamar University,TX,7659
1,"4-year, public",Texas A & M University-Corpus Christi,TX,7655
1,"4-year, public",University of North Texas at Dallas,TX,7650
1,"4-year, public",SUNY College of Technology at Alfred,NY,7646
1,"4-year, public",Black Hills State University,SD,7617
1,"4-year, public",SUNY College of Agriculture and Technology at Cobleskill,NY,7609
1,"4-year, public",Rhode Island College,RI,7602
1,"4-year, public",University of Wisconsin-Whitewater,WI,7600
1,"4-year, public",SUNY College at Oswego,NY,7581
1,"4-year, public",University of Maine at Fort Kent,ME,7575
1,"4-year, public",Minnesota State University-Mankato,MN,7574
1,"4-year, public",SUNY Oneonta,NY,7568
1,"4-year, public",Troy University,AL,7564
1,"4-year, public",Northern State University,SD,7563
1,"4-year, public",SUNY College at Brockport,NY,7562
1,"4-year, public",Texas A & M University-Kingsville,TX,7554
1,"4-year, public",SUNY College at Potsdam,NY,7553
1,"4-year, public",Saint Cloud State University,MN,7553
1,"4-year, public",Norfolk State University,VA,7552
1,"4-year, public",SUNY College of Technology at Delhi,NY,7530
1,"4-year, public",SUNY College of Technology at Canton,NY,7519
1,"4-year, public",SUNY College at Plattsburgh,NY,7517
1,"4-year, public",University of Alabama at Birmingham,AL,7510
1,"4-year, public",Dakota State University,SD,7506
1,"4-year, public",University of Wisconsin-Platteville,WI,7491
1,"4-year, public",University of Maine at Machias,ME,7490
1,"4-year, public",Farmingdale State College,NY,7483
1,"4-year, public",University of Colorado Colorado Springs,CO,7462
1,"4-year, public",The University of Texas at San Antonio,TX,7457
1,"4-year, public",University of Maine at Augusta,ME,7448
1,"4-year, public",SUNY Maritime College,NY,7446
1,"4-year, public",Oklahoma State University-Main Campus,OK,7442
1,"4-year, public",Eastern Oregon University,OR,7440
1,"4-year, public",University of Wisconsin-Oshkosh,WI,7437
1,"4-year, public",University of Arkansas at Little Rock,AR,7432
1,"4-year, public",SUNY Institute of Technology at Utica-Rome,NY,7420
1,"4-year, public",State University of New York at New Paltz,NY,7418
1,"4-year, public",University of North Alabama,AL,7412
1,"4-year, public",Kentucky State University,KY,7404
1,"4-year, public",SUNY College of Environmental Science and Forestry,NY,7398
1,"4-year, public",Murray State University,KY,7392
1,"4-year, public",University of New Orleans,LA,7392
1,"4-year, public",Morgan State University,MD,7378
1,"4-year, public",Truman State University,MO,7374
1,"4-year, public",Shawnee State University,OH,7364
1,"4-year, public",SUNY Buffalo State,NY,7347
1,"4-year, public",Delaware State University,DE,7336
1,"4-year, public",Purdue University-North Central Campus,IN,7329
1,"4-year, public",Georgia Regents University,GA,7326
1,"4-year, public",University of Wisconsin-Parkside,WI,7326
1,"4-year, public",SUNY College at Old Westbury,NY,7323
1,"4-year, public",San Jose State University,CA,7323
1,"4-year, public",The University of Texas at Tyler,TX,7312
1,"4-year, public",University of Maine at Presque Isle,ME,7300
1,"4-year, public",Bowie State University,MD,7299
1,"4-year, public",Sam Houston State University,TX,7294
