Alumni Employment,Broad Impact,Citations,Country,Influence,institution,National Rank,Patents,Publications,Quality Of Education,Quality Of Faculty,Score,world_rank,Latitude,Longitude
567,54,68,USA,51,"University of California, Irvine",52,162,78,227,44,51.51,89,38.53455,-121.75206
227,52,35,USA,33,"University of California, Davis",36,62,29,54,59,54.85,53,38.53455,-121.75206
21,7,4,USA,4,"University of California, Berkeley",5,29,10,5,6,92.25,7,38.53455,-121.75206
567,344,812,USA,565,University of Arkansas for Medical Sciences,143,340,501,367,218,45.08,429,38.53455,-121.75206
345,520,645,USA,571,University of Arkansas - Fayetteville,168,409,517,204,218,44.62,550,36.06996,-94.17658
55,49,31,USA,39,University of Arizona,42,235,74,139,87,53.26,68,36.06996,-94.17658
420,520,511,USA,373,University of Alaska Fairbanks,176,792,642,367,218,44.53,591,31.5656,-110.24918
567,659,645,USA,432,University of Alabama in Huntsville,204,805,921,367,218,44.3,752,64.84265,-147.81261
567,71,128,USA,124,University of Alabama at Birmingham,70,130,141,367,218,48.79,146,34.73588,-86.64799
140,471,368,USA,490,University of Alabama - Tuscaloosa,138,314,511,325,218,45.14,409,33.5015,-86.80612
400,606,645,USA,653,University of Akron,165,166,656,367,218,44.65,543,33.20646,-87.50013
398,235,287,USA,298,"University at Buffalo, The State University of New York",106,237,203,367,218,46.3,273,41.07735,-81.51472
567,353,212,USA,374,"University at Albany, SUNY",134,531,411,180,165,45.22,388,43.00289,-78.78878
144,251,264,USA,299,Tulane University,105,258,365,324,218,46.31,272,42.68623,-73.81637
48,85,93,USA,160,Tufts University,54,84,166,60,182,51.22,95,38.6674,-90.34928
567,179,161,USA,334,Thomas Jefferson University,97,502,333,158,218,46.47,254,40.93405,-74.05108
407,809,511,USA,596,The Catholic University of America,216,674,947,367,218,44.2,832,43.19284,-112.33534
184,511,287,USA,618,Texas Tech University (TTU),152,809,455,367,218,44.87,469,38.93771,-76.99873
108,143,88,USA,98,"Texas A&M University, College Station",56,201,77,339,46,50.43,102,33.57883,-101.88802
567,558,645,USA,440,Texas A&M Health Science Center,183,336,672,367,218,44.49,616,30.634,-96.4932
553,349,511,USA,349,Temple University,133,211,326,272,218,45.29,381,30.59877,-96.38201
221,495,428,USA,494,Syracuse University,150,392,453,138,218,44.91,463,28.03809,-82.39733
567,437,511,USA,446,SUNY Downstate Medical Center,162,660,756,367,155,44.72,516,43.03938,-76.13312
567,134,93,USA,84,Stony Brook University,65,96,173,186,58,49.09,138,31.77873,-106.47966
567,549,428,USA,632,State University of New York Upstate Medical University,186,598,774,367,218,44.45,635,40.91617,-73.11831
2,4,3,USA,3,Stanford University,2,10,5,9,4,98.66,2,42.79906,-77.82364
28,646,368,USA,655,Southern Methodist University,68,824,624,179,218,48.99,142,41.051924,-73.539475
533,520,812,USA,512,Southern Illinois University Carbondale,175,588,591,208,218,44.53,590,34.83559,-91.38109
567,622,511,USA,572,San Francisco State University,197,871,864,271,218,44.35,712,37.71095,-89.20911
204,339,264,USA,302,San Diego State University,128,509,467,248,218,45.41,361,35.21019,-111.64263
