Alumni Employment,Broad Impact,Citations,Country,Influence,institution,National Rank,Patents,Publications,Quality Of Education,Quality Of Faculty,Score,world_rank,Latitude (generated),Longitude (generated)
420,520,511,USA,373,University of Alaska Fairbanks,176,792,642,367,218,44.53,591,40.0792,-98.8164
567,659,645,USA,432,University of Alabama in Huntsville,204,805,921,367,218,44.3,752,40.0792,-98.8164
567,71,128,USA,124,University of Alabama at Birmingham,70,130,141,367,218,48.79,146,40.0792,-98.8164
140,471,368,USA,490,University of Alabama - Tuscaloosa,138,314,511,325,218,45.14,409,40.0792,-98.8164
400,606,645,USA,653,University of Akron,165,166,656,367,218,44.65,543,40.0792,-98.8164
398,235,287,USA,298,"University at Buffalo, The State University of New York",106,237,203,367,218,46.3,273,40.0792,-98.8164
567,353,212,USA,374,"University at Albany, SUNY",134,531,411,180,165,45.22,388,40.0792,-98.8164
144,251,264,USA,299,Tulane University,105,258,365,324,218,46.31,272,40.0792,-98.8164
48,85,93,USA,160,Tufts University,54,84,166,60,182,51.22,95,40.0792,-98.8164
567,179,161,USA,334,Thomas Jefferson University,97,502,333,158,218,46.47,254,40.0792,-98.8164
407,809,511,USA,596,The Catholic University of America,216,674,947,367,218,44.2,832,40.0792,-98.8164
184,511,287,USA,618,Texas Tech University (TTU),152,809,455,367,218,44.87,469,40.0792,-98.8164
108,143,88,USA,98,"Texas A&M University, College Station",56,201,77,339,46,50.43,102,40.0792,-98.8164
567,558,645,USA,440,Texas A&M Health Science Center,183,336,672,367,218,44.49,616,40.0792,-98.8164
553,349,511,USA,349,Temple University,133,211,326,272,218,45.29,381,40.0792,-98.8164
221,495,428,USA,494,Syracuse University,150,392,453,138,218,44.91,463,40.0792,-98.8164
567,437,511,USA,446,SUNY Downstate Medical Center,162,660,756,367,155,44.72,516,40.0792,-98.8164
567,134,93,USA,84,Stony Brook University,65,96,173,186,58,49.09,138,40.0792,-98.8164
567,549,428,USA,632,State University of New York Upstate Medical University,186,598,774,367,218,44.45,635,40.0792,-98.8164
2,4,3,USA,3,Stanford University,2,10,5,9,4,98.66,2,40.0792,-98.8164
28,646,368,USA,655,Southern Methodist University,68,824,624,179,218,48.99,142,40.0792,-98.8164
533,520,812,USA,512,Southern Illinois University Carbondale,175,588,591,208,218,44.53,590,40.0792,-98.8164
567,622,511,USA,572,San Francisco State University,197,871,864,271,218,44.35,712,40.0792,-98.8164
204,339,264,USA,302,San Diego State University,128,509,467,248,218,45.41,361,40.0792,-98.8164
261,330,428,USA,293,Saint Louis University,129,286,458,367,202,45.39,364,40.0792,-98.8164
567,637,645,USA,515,"Rutgers, The State University of New Jersey - Newark",201,871,832,367,218,44.33,723,40.0792,-98.8164
40,89,46,USA,66,Rutgers University-New Brunswick,33,61,100,91,37,55.23,50,40.0792,-98.8164
567,260,197,USA,404,Rush University,118,871,427,367,218,45.71,323,40.0792,-98.8164
567,70,115,USA,28,Rockefeller University,21,289,372,49,12,61.28,29,40.0792,-98.8164
431,671,287,USA,643,Rochester Institute of Technology,196,587,905,367,218,44.35,710,40.0792,-98.8164
161,130,59,USA,150,Rice University,61,76,255,52,95,49.73,120,40.0792,-98.8164
142,292,182,USA,346,Rensselaer Polytechnic Institute,110,210,402,137,218,46.19,282,40.0792,-98.8164
374,886,812,USA,690,"Queens College, City University of New York",223,729,977,323,218,44.14,893,40.0792,-98.8164
33,117,68,USA,95,"Purdue University, West Lafayette",27,28,75,55,47,56.39,43,40.0792,-98.8164
15,33,24,USA,25,Princeton University,7,225,72,4,3,89.42,9,40.0792,-98.8164
245,741,812,USA,548,Portland State University,192,484,800,367,218,44.41,661,40.0792,-98.8164
44,38,28,USA,43,"Pennsylvania State University, University Park",30,92,49,230,62,55.54,47,40.0792,-98.8164
239,235,161,USA,148,Oregon State University,101,389,263,189,218,46.42,260,40.0792,-98.8164
567,105,125,USA,115,Oregon Health & Science University,75,144,184,367,128,48.23,166,40.0792,-98.8164
567,590,511,USA,590,Old Dominion University,191,379,719,367,218,44.42,656,40.0792,-98.8164
153,471,428,USA,648,Oklahoma State University–Stillwater,139,303,447,239,218,45.13,412,40.0792,-98.8164
174,565,812,USA,472,Ohio University,149,224,590,205,218,44.91,460,40.0792,-98.8164
